PLACE,indicator,Strongly_D,Moderate,Agree,Strongly_A,Total,pct_agree,lat,lon
Kampung Melayu Batu Skudai,Belief in Citizen Participation,2,3,8,13,26,80.8,1.5375311775221678,103.66057884175193
Kampung Teluk Serdang,Belief in Citizen Participation,0,0,1,0,1,100.0,1.497540820206339,103.6842046362624
Kampung Pasir,Belief in Citizen Participation,0,0,2,0,2,100.0,1.4945853313486772,103.6885092299382
Kampung Pasir Tampoi,Belief in Citizen Participation,0,0,1,0,1,100.0,1.489528976711252,103.69234611081013
Kampung Sungai Melayu,Belief in Citizen Participation,0,0,0,1,1,100.0,1.4727686482514186,103.69618299168198
Kota Iskandar,Belief in Citizen Participation,1,1,10,8,20,90.0,1.4217283625881747,103.65186469287806
Medini,Belief in Citizen Participation,0,0,0,2,2,100.0,1.4081059483297786,103.62848648849575
Kampung Bukit Kucing,Belief in Citizen Participation,0,1,1,0,2,50.0,1.390854856037487,103.60100371387837
Kampung Ladang,Belief in Citizen Participation,1,7,16,25,49,83.7,1.3664653807276952,103.62039632107592
Kampung Pendas,Belief in Citizen Participation,0,1,3,1,5,80.0,1.369439706984987,103.62753470409342
Kampung Pok Besar,Belief in Citizen Participation,0,0,2,2,4,100.0,1.361944404816612,103.58708386699425
Kampung Pok Kecil,Belief in Citizen Participation,0,0,1,0,1,100.0,1.361230566514862,103.5806593222785
Kampung Pok,Belief in Citizen Participation,0,2,1,4,7,71.4,1.3539732104470705,103.5778039690715
Kampung Tanjong Adang,Belief in Citizen Participation,0,0,1,4,5,100.0,1.35376500760906,103.567810232847
Kampung Pekajang,Belief in Citizen Participation,3,4,16,32,55,87.3,1.3582264969949973,103.5627538782096
Kampung Tiram Duku,Belief in Citizen Participation,0,1,2,0,3,66.7,1.3850020006229986,103.5802827126119
Kampung Simpang Arang,Belief in Citizen Participation,0,1,1,2,4,75.0,1.411161406593094,103.56791179966416
Kampung Lalang,Belief in Citizen Participation,1,0,0,0,1,0.0,1.4439454220430472,103.61894975107613
Kampung Baru Muafakat,Belief in Citizen Participation,0,0,0,1,1,100.0,1.4422322101188472,103.59567862243908
Gelang Patah,Belief in Citizen Participation,0,0,0,3,3,100.0,1.448085684193197,103.59525031945803
Kampung Melayu,Belief in Citizen Participation,4,4,26,16,50,84.0,1.449299209306172,103.58161600789461
Kampung Pulai Mutiara,Belief in Citizen Participation,0,0,1,0,1,100.0,1.4562234408331467,103.56898106995364
Kampung Melayu Baru,Belief in Citizen Participation,2,2,11,9,24,83.3,1.4561520570029718,103.56512634312419
Kampung Bukit Tempuring,Belief in Citizen Participation,0,0,0,1,1,100.0,1.4596498646815466,103.57155088783993
Kampung Pulai,Belief in Citizen Participation,1,3,15,18,37,89.2,1.4700005200569213,103.57105120102871
Nusa Sentral,Belief in Citizen Participation,0,1,0,0,1,0.0,1.465913795779402,103.61999373959245
Nusa Idaman,Belief in Citizen Participation,0,4,2,7,13,69.2,1.4685549974958767,103.63698309117409
Nusantara,Belief in Citizen Participation,0,0,0,1,1,100.0,1.4607259999999993,103.57992000000003
Pangsapuri Seri Mengkuang,Belief in Citizen Participation,0,0,1,1,2,100.0,1.3734244243868927,103.5928570083068
Pangsapuri Mengkuang,Belief in Citizen Participation,1,0,2,0,3,66.7,1.3758514746128425,103.59053703382611
Pekajang,Belief in Citizen Participation,0,0,0,1,1,100.0,1.3563022643554572,103.56359539905075
Perumahan Iskandar Malaysia,Belief in Citizen Participation,0,0,0,1,1,100.0,1.4767069191508742,103.6125235659439
Rumah Iskandar,Belief in Citizen Participation,0,2,9,9,20,90.0,1.4780528940047604,103.61829582592011
Skudai,Belief in Citizen Participation,0,0,0,3,3,100.0,1.5315719999999997,103.66048700000003
Sunway,Belief in Citizen Participation,0,1,0,2,3,66.7,1.3890379999999996,103.63923900000003
Sunway Iskandar Puteri,Belief in Citizen Participation,0,0,1,1,2,100.0,1.3920988729986623,103.63520964839215
Taman Desa Skudai,Belief in Citizen Participation,2,3,15,19,39,87.2,1.5445389999999994,103.64477400000003
Taman Desa Paya Mengkuang,Belief in Citizen Participation,0,0,1,0,1,100.0,1.3782679999999992,103.59063600000003
Taman Jaya Mas,Belief in Citizen Participation,0,1,0,0,1,0.0,1.494323999999999,103.64437500000004
Taman Harmoni,Belief in Citizen Participation,0,2,1,2,5,60.0,1.5366069999999992,103.65275500000003
Taman Medini,Belief in Citizen Participation,0,0,0,1,1,100.0,1.4382652948728767,103.63512496948204
Taman Mutiara Rini,Belief in Citizen Participation,1,1,4,7,13,84.6,1.5253379999999994,103.63999100000002
Taman Mas Gelang Patah,Belief in Citizen Participation,1,2,7,4,14,78.6,1.4583119999999998,103.58953500000003
Taman Nusa Sentral,Belief in Citizen Participation,0,2,13,13,28,92.9,1.4686479101754246,103.6218457728127
Taman Nusantara Gelang Patah,Belief in Citizen Participation,2,4,30,40,76,92.1,1.469847999999999,103.58241300000003
Taman Pulai Indah,Belief in Citizen Participation,0,0,0,1,1,100.0,1.5415969999999994,103.58063000000003
Taman Nusa Perintis,Belief in Citizen Participation,2,2,13,15,32,87.5,1.4547929999999991,103.59158100000003
Taman Skudai,Belief in Citizen Participation,0,1,1,0,2,50.0,1.5152201341720626,103.64827600217464
Taman Skudai Baru,Belief in Citizen Participation,0,0,0,1,1,100.0,1.4989249999999998,103.63336700000004
Taman Pulai Utama,Belief in Citizen Participation,0,1,7,12,20,95.0,1.546635,103.61666900000003
Taman Sri Pulai,Belief in Citizen Participation,0,5,12,13,30,83.3,1.5662840000000007,103.62084300000002
Taman Sri Pulai Perdana,Belief in Citizen Participation,1,0,2,9,12,91.7,1.5608590000000002,103.61197300000003
Taman Sri Orkid,Belief in Citizen Participation,0,2,2,4,8,75.0,1.5111799999999993,103.63989200000003
Taman Ungku Tun Aminah,Belief in Citizen Participation,2,2,11,17,32,87.5,1.5222169999999993,103.65947500000003
Tanjung Adang,Belief in Citizen Participation,0,0,0,2,2,100.0,1.354748269159172,103.56555518083186
Taman Universiti,Belief in Citizen Participation,0,0,0,1,1,100.0,1.5338589999999999,103.61640700000002
Tun Aminah,Belief in Citizen Participation,1,2,14,16,33,90.9,1.5114129999999992,103.65721300000003
Tanjung Kupang,Belief in Citizen Participation,1,2,7,9,19,84.2,1.3836689999999994,103.60085000000002
Kampung Desa Paya Mengkuang,Belief in Citizen Participation,0,0,0,1,1,100.0,1.3728309999999984,103.58580900000003
