PLACE,indicator,Strongly_D,Moderate,Agree,Strongly_A,Total,pct_agree,lat,lon
Taman Skudai,Participate in Smart City Initiatives,0,0,2,0,2,100.0,1.5152201341720626,103.64827600217464
Taman Skudai Baru,Participate in Smart City Initiatives,0,0,0,1,1,100.0,1.4989249999999998,103.63336700000004
Taman Pulai Utama,Participate in Smart City Initiatives,0,0,8,12,20,100.0,1.546635,103.61666900000003
Taman Sri Pulai,Participate in Smart City Initiatives,0,0,14,16,30,100.0,1.5662840000000007,103.62084300000002
Taman Sri Pulai Perdana,Participate in Smart City Initiatives,1,0,2,9,12,91.7,1.5608590000000002,103.61197300000003
Taman Sri Orkid,Participate in Smart City Initiatives,0,0,4,4,8,100.0,1.5111799999999993,103.63989200000003
Taman Ungku Tun Aminah,Participate in Smart City Initiatives,2,0,11,19,32,93.8,1.5222169999999993,103.65947500000003
Tanjung Adang,Participate in Smart City Initiatives,0,0,0,2,2,100.0,1.354748269159172,103.56555518083186
Taman Universiti,Participate in Smart City Initiatives,0,0,0,1,1,100.0,1.5338589999999999,103.61640700000002
Tun Aminah,Participate in Smart City Initiatives,1,0,16,16,33,97.0,1.5114129999999992,103.65721300000003
Tanjung Kupang,Participate in Smart City Initiatives,1,0,7,11,19,94.7,1.3836689999999994,103.60085000000002
Kampung Desa Paya Mengkuang,Participate in Smart City Initiatives,0,0,0,1,1,100.0,1.3728309999999984,103.58580900000003
Kangkar Pulai,Attend Smart City Meetings,0,0,2,1,3,100.0,1.557623346255399,103.5900325818511
Mutiara Rini,Attend Smart City Meetings,0,1,0,0,1,0.0,1.5078355041694056,103.62959825945602
Kampung Teluk Serdang,Attend Smart City Meetings,0,0,1,0,1,100.0,1.497540820206339,103.6842046362624
Kampung Pasir,Attend Smart City Meetings,0,2,0,0,2,0.0,1.4945853313486772,103.6885092299382
Kampung Pasir Tampoi,Attend Smart City Meetings,0,0,1,0,1,100.0,1.489528976711252,103.69234611081013
Kampung Sungai Melayu,Attend Smart City Meetings,0,0,0,1,1,100.0,1.4727686482514186,103.69618299168198
Kota Iskandar,Attend Smart City Meetings,3,2,10,5,20,75.0,1.4217283625881747,103.65186469287806
Medini,Attend Smart City Meetings,0,1,0,1,2,50.0,1.4081059483297786,103.62848648849575
Kampung Bukit Kucing,Attend Smart City Meetings,0,1,1,0,2,50.0,1.390854856037487,103.60100371387837
Kampung Ladang,Attend Smart City Meetings,5,6,16,22,49,77.6,1.3664653807276952,103.62039632107592
Kampung Pendas,Attend Smart City Meetings,0,1,3,1,5,80.0,1.369439706984987,103.62753470409342
Kampung Pok Besar,Attend Smart City Meetings,0,0,2,2,4,100.0,1.361944404816612,103.58708386699425
Kampung Pok Kecil,Attend Smart City Meetings,0,0,1,0,1,100.0,1.361230566514862,103.5806593222785
Kampung Pok,Attend Smart City Meetings,0,0,4,3,7,100.0,1.3539732104470705,103.5778039690715
Kampung Tanjong Adang,Attend Smart City Meetings,1,1,0,3,5,60.0,1.35376500760906,103.567810232847
Kampung Pekajang,Attend Smart City Meetings,8,15,11,21,55,58.2,1.3582264969949973,103.5627538782096
Kampung Tiram Duku,Attend Smart City Meetings,0,0,1,2,3,100.0,1.3850020006229986,103.5802827126119
Kampung Simpang Arang,Attend Smart City Meetings,0,1,1,2,4,75.0,1.411161406593094,103.56791179966416
Kampung Lalang,Attend Smart City Meetings,0,1,0,0,1,0.0,1.4439454220430472,103.61894975107613
Kampung Baru Muafakat,Attend Smart City Meetings,0,0,0,1,1,100.0,1.4422322101188472,103.59567862243908
Gelang Patah,Attend Smart City Meetings,1,0,0,2,3,66.7,1.448085684193197,103.59525031945803
Kampung Melayu,Attend Smart City Meetings,3,10,24,13,50,74.0,1.449299209306172,103.58161600789461
Kampung Pulai Mutiara,Attend Smart City Meetings,0,0,1,0,1,100.0,1.4562234408331467,103.56898106995364
Kampung Melayu Baru,Attend Smart City Meetings,4,5,8,7,24,62.5,1.4561520570029718,103.56512634312419
Kampung Bukit Tempuring,Attend Smart City Meetings,1,0,0,0,1,0.0,1.4596498646815466,103.57155088783993
